start_time,stop_time,question,value,topic_idx
65.33,66.69,how are you doing today,mm i'm doing pretty good,0
100.45,100.69,do you travel a lot,mm,12
106.11,107.11,do you travel a lot,uh yes i do,12
241.01,244.31,how are you at controlling your temper,pretty good i can i'm pretty good at controlling my emotions,1
251.425,254.64,when was the last time you argued with someone and what was it about,oh gosh um,5
255.52,259.53,when was the last time you argued with someone and what was it about,i wouldn't say it was a real argument it was more like a what just a,5
259.99,261.24,when was the last time you argued with someone and what was it about,discussion maybe,5
261.71,262.08,when was the last time you argued with someone and what was it about,about,5
263.045,264.375,when was the last time you argued with someone and what was it about,finances maybe,5
266.23,266.66,when was the last time you argued with someone and what was it about,money,5
407.7,410.93,what'd you study at school,i studied <stud> my major was spanish and linguistics,2
484.8,487.46,how easy is it for you to get a good night's sleep,um pretty easy i don't have any problems,9
507.18,512.64,how have you been feeling lately,oh pretty good i think i've been feeling pretty good no major health problems or anything,13
522.33,522.9,have you ever been diagnosed with ptsd,no,14
525.44,526.29,have you been diagnosed with depression,no,4
530.96,533.97,when was the last time you felt really happy,uh last time i was really happy,8
535.53,544.69,when was the last time you felt really happy,uh probably uh when spring break came around it was uh vacation time and it was time to uh <laughter> go on our trip,8
583.52,587.22,how would your best friend describe you,uh i think she would describe me as um,10
588.0,588.3,how would your best friend describe you,eh,10
588.82,591.41,how would your best friend describe you,kind and sweet and um,10
592.17,595.85,how would your best friend describe you,motivated and uh just a nice person,10
663.43,665.49,is there anything you regret,um probably having,3
666.03,669.34,is there anything you regret,done what i did by <laughter> playing it to other people,3
677.22,677.88,what advice would you give to yourself ten or twenty years ago,uh,6
678.4,681.03,what advice would you give to yourself ten or twenty years ago,what advice would i give myself,6
681.74,683.28,what advice would you give to yourself ten or twenty years ago,ten or twenty years ago um,6
684.045,692.225,what advice would you give to yourself ten or twenty years ago,uh don't give up just uh keep uh <laughter> keep pursuing what you want and uh never never give up xxx,6
693.11,694.05,what advice would you give to yourself ten or twenty years ago,see it as a,6
694.87,698.42,what advice would you give to yourself ten or twenty years ago,and as a disappointment if nothing <noth> if it doesn't work out,6
789.73,792.5,what are you most proud of in your life,most proud of um,7
794.12,797.41,what are you most proud of in your life,most proud of uh probably uh,7
797.95,804.59,what are you most proud of in your life,being successful in my work uh in my life in my marriage and,7
805.64,808.83,what are you most proud of in your life,just um yeah just basically being happy with myself,7
