start_time,stop_time,question,value,topic_idx
117.845,118.345,how are you doing today,i'm okay,0
160.01,160.67,do you travel a lot,no i don't,12
178.91,179.73,what'd you study at school,uh,2
180.63,181.62,what'd you study at school,i i didn't,2
182.36,183.63,what'd you study at school,i didn't study anything,2
189.755,191.995,what's your dream job,enough to make enough money to survive,11
192.875,193.965,what's your dream job,that would be a dream job,11
246.04,249.91,how are you at controlling your temper,oh not not real good at it but i don't get angry too often,1
279.85,280.28,when was the last time you argued with someone and what was it about,oh,5
281.67,285.33,when was the last time you argued with someone and what was it about,several days <day> a few days ago it was about mm uh,5
286.36,288.22,when was the last time you argued with someone and what was it about,somebody's excessive drinking,5
289.675,291.565,when was the last time you argued with someone and what was it about,and uh and money,5
294.235,295.315,when was the last time you argued with someone and what was it about,not my drinking some,5
562.9,563.76,how easy is it for you to get a good night's sleep,it's difficult,9
614.35,617.51,how have you been feeling lately,been very anxious and stressed out somewhat sad,13
619.16,620.98,how have you been feeling lately,more than somewhat i've been sad lately,13
657.15,657.77,have you ever been diagnosed with ptsd,no i haven't,14
660.89,664.57,have you been diagnosed with depression,mm depression or sadness i would say yes,4
748.62,750.99,when was the last time you felt really happy,last month at my son's wedding i was happy,8
775.72,776.88,how would your best friend describe you,i don't have a best friend,10
887.26,888.14,what advice would you give to yourself ten or twenty years ago,learn a trade,6
889.07,889.82,what advice would you give to yourself ten or twenty years ago,go to school,6
892.915,894.255,what advice would you give to yourself ten or twenty years ago,realizing that i will,6
894.87,895.96,what advice would you give to yourself ten or twenty years ago,the future will come,6
896.63,897.33,what advice would you give to yourself ten or twenty years ago,and it's here,6
898.02,899.05,what advice would you give to yourself ten or twenty years ago,and i'm unprepared,6
900.77,901.43,what advice would you give to yourself ten or twenty years ago,i did my i,6
902.89,904.3,what advice would you give to yourself ten or twenty years ago,i prepared my kids though,6
944.44,945.12,what are you most proud of in your life,my children,7
