start_time,stop_time,question,value,topic_idx
75.31,75.94,how are you doing today,i'm okay ,0
110.45,116.01,do you travel a lot,i did in one point in my life i was in the military so don't do hardly a lot of traveling no more ,12
270.64,274.08,what'd you study at school,uh <sigh> history basically a lot um ,2
275.8,277.36,what'd you study at school,yeah just basically history ,2
297.09,297.82,what's your dream job,excuse me ma'am,11
301.66,302.35,what's your dream job,i guess i don't ,11
303.0,305.9,what's your dream job,my dream job would probably be,11
306.8,317.33,what's your dream job,working with others working with young people working with kids seeing that they get the uh the right and proper uh uh education that's you know,11
318.47,324.26,what's your dream job,that's due to them so they can be productive in the life of society as we live in today ,11
471.9,474.51,how are you at controlling your temper,oh my temper can be controlled i can control it pretty well ,1
482.54,483.9,when was the last time you argued with someone and what was it about,uh ,5
485.22,488.9,when was the last time you argued with someone and what was it about,i i don't know i think it probably was my sister,5
489.84,496.36,when was the last time you argued with someone and what was it about,and she's very controlling and it's like you have your life and i have mine don't tell me what to do,5
520.87,521.95,when was the last time you felt really happy,uh ,8
523.18,524.47,when was the last time you felt really happy,this morning <laughter> ,8
526.08,531.23,when was the last time you felt really happy,yeah i wake up pretty you know i i first thing i do when i wake up in the morning i pray so,8
531.93,533.85,when was the last time you felt really happy,when my spirit's in connection,8
534.85,539.3,when was the last time you felt really happy,with the uh <sigh> the universe and the world i i feel pretty good  ,8
547.23,549.84,how have you been feeling lately,uh <sigh> up and down you know,13
550.52,557.19,how have you been feeling lately,up because i'm motivated to get out and start doing other things in life than just not doing anything at all,13
557.97,566.68,how have you been feeling lately,and then other times where you wanna get something accomplished and you can't really get it done because there's road blocks in the way but uh,13
567.51,571.05,how have you been feeling lately,i'm learning how to uh overcome those road blocks as well,13
658.92,660.28,how easy is it for you to get a good night's sleep,it's very seldom ,9
661.19,666.69,how easy is it for you to get a good night's sleep,uh i suffer from p_t_s_d and uh getting that type of sleep,9
667.67,668.93,how easy is it for you to get a good night's sleep,would be would be great ,9
669.99,674.51,how easy is it for you to get a good night's sleep,because i have recurring nightmares so of a incident so ,9
796.97,797.75,how would your best friend describe you,my best friend ,10
863.99,868.15,is there anything you regret,i thought i did but i don't think i do i don't think i regret anything because ,3
869.81,875.91,is there anything you regret,this is this is how it is this is the way it is for me so i accept it and i keep moving on ,3
877.35,890.46,is there anything you regret,because if i regret anything in the past then i'm wasting my time on that because it's gone that's the past i need to move on i need to live in the present so i can be prepared for the future so i can move on to the future ,3
897.54,898.09,what advice would you give to yourself ten or twenty years ago,<sharp inhale>,6
898.78,901.79,what advice would you give to yourself ten or twenty years ago,uh <sigh> more education uh ,6
903.06,907.98,what advice would you give to yourself ten or twenty years ago,being more direct and more confidence in what i'm doing,6
908.79,914.1,what advice would you give to yourself ten or twenty years ago,like i am today so yeah that's what i was lacking maybe twenty years ago ,6
967.44,968.15,what are you most proud of in your life,excuse me ma'am ,7
971.95,972.74,what are you most proud of in your life,uh <sigh>,7
973.94,979.29,what are you most proud of in your life,that i'm able to really be able to be self-motivated,7
980.01,988.65,what are you most proud of in your life,and really be able to put my best foot forward and be able to get a lot of things accomplished which i thought i couldn't but it can be accomplished,7
989.21,992.2,what are you most proud of in your life,if i'm willing enough to put the will to it to do it,7
