start_time,stop_time,question,value,topic_idx
64.51,65.2,how are you doing today,good thank you,0
94.255,95.805,do you travel a lot,i try to when i have time,12
140.23,143.03,what'd you study at school,uh advertising communications and public relations,2
171.095,172.105,what's your dream job,<deep breath>,11
172.92,174.58,what's your dream job,dream job um,11
175.56,176.8,what's your dream job,probably to,11
179.96,181.4,what's your dream job,to work for a um,11
182.54,183.68,what's your dream job,a big golf company,11
185.23,186.79,what's your dream job,and do their advertising for them,11
241.28,243.18,how are you at controlling your temper,um i don't really have a temper i just,1
244.14,244.78,how are you at controlling your temper,i'm pretty mellow,1
252.845,259.015,when was the last time you argued with someone and what was it about,haven't really argued with anyone um we have uh disagreements you know with family members or friends but,5
259.76,261.65,when was the last time you argued with someone and what was it about,it's usually uh solved right then and there,5
338.3,342.655,how easy is it for you to get a good night's sleep,that's one thing i struggle with i definitely get a good night's sleep but it's hard to go to sleep,9
368.53,369.43,how have you been feeling lately,i feel okay,13
372.48,372.91,how have you been feeling lately,happy,13
418.16,419.83,when was the last time you felt really happy,this morning when i when i woke up,8
425.455,425.745,have you ever been diagnosed with ptsd,no,14
428.91,429.22,have you been diagnosed with depression,have not,4
451.38,452.57,how would your best friend describe you,as outgoing and,10
453.82,455.41,how would your best friend describe you,um hardworking and,10
456.315,457.665,how would your best friend describe you,a family <f> good family person,10
488.14,490.09,is there anything you regret,not really i try not to have any regrets,3
490.62,492.5,is there anything you regret,just move forward from something uh,3
493.46,494.77,is there anything you regret,negative i guess uh,3
495.59,496.51,is there anything you regret,just try to move on,3
504.45,507.73,what advice would you give to yourself ten or twenty years ago,to go to school stay in school um,6
508.63,511.46,what advice would you give to yourself ten or twenty years ago,invest invest early start a four o one k early,6
512.31,515.3,what advice would you give to yourself ten or twenty years ago,all the xxx all the things you know start a retirement fund,6
516.52,517.14,what advice would you give to yourself ten or twenty years ago,all the above,6
527.765,528.545,what are you most proud of in your life,just um,7
529.81,532.25,what are you most proud of in your life,being raised by a good family and um,7
533.48,535.37,what are you most proud of in your life,training myself to be a hard worker and,7
536.96,537.92,what are you most proud of in your life,um enough to <t>,7
538.81,543.31,what are you most proud of in your life,hard enough worker to worker to provide for my family and um hopefully be uh,7
544.93,547.19,what are you most proud of in your life,successful one day and um,7
547.76,553.1,what are you most proud of in your life,c_e_o of my company right now i'm you know at the bottom of my advertising agency but,7
553.71,556.67,what are you most proud of in your life,continue uh to work harder and move <m> move up,7
